Image,Class,Method,Deletion AUC,Insertion AUC
0,churros,Grad-CAM,0.1837965497886762,0.5292881883028894
0,churros,Grad-CAM++,0.19658240876160565,0.5073851567506791
0,churros,Score-CAM,0.2014556599780917,0.5129198366869241
0,churros,Ablation-CAM,0.1894628845667466,0.5062463158555329
1,churros,Grad-CAM,0.15930013834964482,0.8943142367061228
1,churros,Grad-CAM++,0.16512899243738507,0.9026863608509302
1,churros,Score-CAM,0.17247690048534425,0.9041958079021424
1,churros,Ablation-CAM,0.15223941526375706,0.8899412272777409
2,churros,Grad-CAM,0.2767071978421881,0.9100145239662379
2,churros,Grad-CAM++,0.27944153855554765,0.900105687091127
2,churros,Score-CAM,0.26674245333764707,0.8988991968240586
2,churros,Ablation-CAM,0.28158776691649107,0.9109856579173355
3,churros,Grad-CAM,0.2312441539345309,0.8979551020544023
3,churros,Grad-CAM++,0.2397434132639319,0.8899587175063791
3,churros,Score-CAM,0.22805722335819154,0.9090011467598377
3,churros,Ablation-CAM,0.24880440762266515,0.8984679524740204
4,churros,Grad-CAM,0.011932719850447027,0.2557609599968418
4,churros,Grad-CAM++,0.016672083945013585,0.23752266637282446
4,churros,Score-CAM,0.022694566552527252,0.2487809344450943
4,churros,Ablation-CAM,0.251851892536506,0.018330763257108633
5,churros,Grad-CAM,0.49651440720539547,0.8380461662914606
5,churros,Grad-CAM++,0.5037303899182005,0.8086145261395721
5,churros,Score-CAM,0.5334944172576069,0.8531343323737383
5,churros,Ablation-CAM,0.49614093426149347,0.8205231516622007
6,churros,Grad-CAM,0.3070551860379055,0.7981363098137081
6,churros,Grad-CAM++,0.30230241819750514,0.7859109327103942
6,churros,Score-CAM,0.31863121422939,0.8327182052098214
6,churros,Ablation-CAM,0.30018610011786223,0.8005818582698704
7,churros,Grad-CAM,0.04253155527170748,0.2569253714103252
7,churros,Grad-CAM++,0.08266792449168862,0.18222879805602132
7,churros,Score-CAM,0.10034310239832848,0.19550439711660147
7,churros,Ablation-CAM,0.17327141714747993,0.15581694395747037
8,churros,Grad-CAM,0.3167048006830737,0.8691164531279355
8,churros,Grad-CAM++,0.3285787846893073,0.8681944595463575
8,churros,Score-CAM,0.3157946308888495,0.8782158360350878
8,churros,Ablation-CAM,0.32261331055313347,0.87301434032619
9,churros,Grad-CAM,0.4214591690618545,0.8211332589061932
9,churros,Grad-CAM++,0.4142768128681928,0.8211262745410204
9,churros,Score-CAM,0.41510921397712086,0.8258928036130964
9,churros,Ablation-CAM,0.41917048603761947,0.8039280488109215
10,churros,Grad-CAM,0.08230583133175967,0.7566775515209883
10,churros,Grad-CAM++,0.09138569561066108,0.7733757167123259
10,churros,Score-CAM,0.08705490653403104,0.7827057591918856
10,churros,Ablation-CAM,0.08959181082900612,0.7640052262600512
11,churros,Grad-CAM,0.4706614120164886,0.8750805389136076
11,churros,Grad-CAM++,0.49419045417569574,0.8622942102979869
11,churros,Score-CAM,0.4369805197324603,0.9038531776238233
11,churros,Ablation-CAM,0.47714321507140994,0.8738599027786405
12,churros,Grad-CAM,0.31841369921807194,0.9147399577405303
12,churros,Grad-CAM++,0.3211010017618537,0.9151112418808042
12,churros,Score-CAM,0.3429608802171425,0.9150970865320416
12,churros,Ablation-CAM,0.3468224936118349,0.8976961735542863
13,churros,Grad-CAM,0.20291716736741364,0.6815109412930905
13,churros,Grad-CAM++,0.2295139498822391,0.677175193503499
13,churros,Score-CAM,0.23965703967027369,0.6743884868174791
13,churros,Ablation-CAM,0.21918076869100334,0.6803001068532466
14,churros,Grad-CAM,0.42238465134520087,0.89549332219176
14,churros,Grad-CAM++,0.41808438442647455,0.8850168048683553
14,churros,Score-CAM,0.40863974934909486,0.9095138321351262
14,churros,Ablation-CAM,0.4241095372242853,0.8820068212784827
15,churros,Grad-CAM,0.3108514060592279,0.7714556766301393
15,churros,Grad-CAM++,0.31724338902626187,0.7650724869407713
15,churros,Score-CAM,0.31232865958940237,0.7797502728458494
15,churros,Ablation-CAM,0.3184357251087204,0.7653319334052502
16,churros,Grad-CAM,0.1805349697684869,0.849992163348943
16,churros,Grad-CAM++,0.18361191882286224,0.7691843235678971
16,churros,Score-CAM,0.2249293956439942,0.7910427246429026
16,churros,Ablation-CAM,0.1719622663408518,0.8087185579817743
17,churros,Grad-CAM,0.12404099470935763,0.8613496840372682
17,churros,Grad-CAM++,0.14500055300537498,0.8484581379313023
17,churros,Score-CAM,0.15079967950470743,0.8360077902581542
17,churros,Ablation-CAM,0.13377659486141055,0.8555753158777951
18,churros,Grad-CAM,0.34379165551625185,0.8232341134920717
18,churros,Grad-CAM++,0.3484057411877438,0.8267285528127105
18,churros,Score-CAM,0.3588088720850647,0.8406558508332819
18,churros,Ablation-CAM,0.3397452385537326,0.8232779814861714
19,churros,Grad-CAM,0.15734163614921273,0.8745760836545375
19,churros,Grad-CAM++,0.1602652004221454,0.8711493086721748
19,churros,Score-CAM,0.16527263439726086,0.8823148745298386
19,churros,Ablation-CAM,0.15381727543193846,0.8712620076630265
20,churros,Grad-CAM,0.24683247102890166,0.8778011201228947
20,churros,Grad-CAM++,0.2581427446147427,0.8700977853778749
20,churros,Score-CAM,0.23330597313586626,0.8779119837097824
20,churros,Ablation-CAM,0.29689935198053724,0.8377226660307497
21,churros,Grad-CAM,0.26055541060864923,0.9659432138875126
21,churros,Grad-CAM++,0.2805936522781849,0.9629985395725817
21,churros,Score-CAM,0.26474115070421256,0.9634601259697229
21,churros,Ablation-CAM,0.2772440979676321,0.9609492758661509
22,churros,Grad-CAM,0.08129788548685611,0.8169802790228278
22,churros,Grad-CAM++,0.08320497083012014,0.8187646282743661
22,churros,Score-CAM,0.06358951383270324,0.8240418922994287
22,churros,Ablation-CAM,0.07961823185905816,0.8133355583250522
23,churros,Grad-CAM,0.06715537755750119,0.34267744114156806
23,churros,Grad-CAM++,0.07376474238466472,0.3296326403785496
23,churros,Score-CAM,0.07030893889255822,0.3397951734066009
23,churros,Ablation-CAM,0.07106154847424477,0.3373903678636998
24,churros,Grad-CAM,0.1874485528236255,0.7019332944694906
24,churros,Grad-CAM++,0.20971189167350532,0.713696505865082
24,churros,Score-CAM,0.2906788754044101,0.7425181847903878
